impl,profile,trace_path,N,seed,elapsed_ms,ops_total,inserts,findmins,deletemins,extractmins
quadratic_oracle,batch_then_drain,batch_then_drain_N_1024_S_101.trace,1024,101,17.8249,3072,1024,1024,1024,0
binary_heap,batch_then_drain,batch_then_drain_N_1024_S_101.trace,1024,101,0.9196,3072,1024,1024,1024,0
binomial_queue,batch_then_drain,batch_then_drain_N_1024_S_101.trace,1024,101,2.9133,3072,1024,1024,1024,0
linear_base,batch_then_drain,batch_then_drain_N_1024_S_101.trace,1024,101,0.107,3072,1024,1024,1024,0
quadratic_oracle,batch_then_drain,batch_then_drain_N_1024_S_202.trace,1024,202,18.3133,3072,1024,1024,1024,0
binary_heap,batch_then_drain,batch_then_drain_N_1024_S_202.trace,1024,202,0.7907,3072,1024,1024,1024,0
binomial_queue,batch_then_drain,batch_then_drain_N_1024_S_202.trace,1024,202,2.882,3072,1024,1024,1024,0
linear_base,batch_then_drain,batch_then_drain_N_1024_S_202.trace,1024,202,0.1377,3072,1024,1024,1024,0
quadratic_oracle,batch_then_drain,batch_then_drain_N_1024_S_303.trace,1024,303,13.8952,3072,1024,1024,1024,0
binary_heap,batch_then_drain,batch_then_drain_N_1024_S_303.trace,1024,303,0.8127,3072,1024,1024,1024,0
binomial_queue,batch_then_drain,batch_then_drain_N_1024_S_303.trace,1024,303,2.602,3072,1024,1024,1024,0
linear_base,batch_then_drain,batch_then_drain_N_1024_S_303.trace,1024,303,0.1184,3072,1024,1024,1024,0
quadratic_oracle,batch_then_drain,batch_then_drain_N_1024_S_404.trace,1024,404,13.3007,3072,1024,1024,1024,0
binary_heap,batch_then_drain,batch_then_drain_N_1024_S_404.trace,1024,404,0.9537,3072,1024,1024,1024,0
binomial_queue,batch_then_drain,batch_then_drain_N_1024_S_404.trace,1024,404,2.1601,3072,1024,1024,1024,0
linear_base,batch_then_drain,batch_then_drain_N_1024_S_404.trace,1024,404,0.0892,3072,1024,1024,1024,0
quadratic_oracle,batch_then_drain,batch_then_drain_N_1024_S_505.trace,1024,505,12.8835,3072,1024,1024,1024,0
binary_heap,batch_then_drain,batch_then_drain_N_1024_S_505.trace,1024,505,0.6747,3072,1024,1024,1024,0
binomial_queue,batch_then_drain,batch_then_drain_N_1024_S_505.trace,1024,505,2.3081,3072,1024,1024,1024,0
linear_base,batch_then_drain,batch_then_drain_N_1024_S_505.trace,1024,505,0.095,3072,1024,1024,1024,0
binary_heap,batch_then_drain,batch_then_drain_N_1048576_S_101.trace,1048576,101,1448.55,3145728,1048576,1048576,1048576,0
binomial_queue,batch_then_drain,batch_then_drain_N_1048576_S_101.trace,1048576,101,5356.83,3145728,1048576,1048576,1048576,0
linear_base,batch_then_drain,batch_then_drain_N_1048576_S_101.trace,1048576,101,82.3371,3145728,1048576,1048576,1048576,0
binary_heap,batch_then_drain,batch_then_drain_N_1048576_S_202.trace,1048576,202,1449.39,3145728,1048576,1048576,1048576,0
binomial_queue,batch_then_drain,batch_then_drain_N_1048576_S_202.trace,1048576,202,5522.09,3145728,1048576,1048576,1048576,0
linear_base,batch_then_drain,batch_then_drain_N_1048576_S_202.trace,1048576,202,82.0511,3145728,1048576,1048576,1048576,0
binary_heap,batch_then_drain,batch_then_drain_N_1048576_S_303.trace,1048576,303,1508.07,3145728,1048576,1048576,1048576,0
binomial_queue,batch_then_drain,batch_then_drain_N_1048576_S_303.trace,1048576,303,5717.66,3145728,1048576,1048576,1048576,0
linear_base,batch_then_drain,batch_then_drain_N_1048576_S_303.trace,1048576,303,81.1986,3145728,1048576,1048576,1048576,0
binary_heap,batch_then_drain,batch_then_drain_N_1048576_S_404.trace,1048576,404,1437.36,3145728,1048576,1048576,1048576,0
binomial_queue,batch_then_drain,batch_then_drain_N_1048576_S_404.trace,1048576,404,5636.38,3145728,1048576,1048576,1048576,0
linear_base,batch_then_drain,batch_then_drain_N_1048576_S_404.trace,1048576,404,82.8522,3145728,1048576,1048576,1048576,0
binary_heap,batch_then_drain,batch_then_drain_N_1048576_S_505.trace,1048576,505,1439.33,3145728,1048576,1048576,1048576,0
binomial_queue,batch_then_drain,batch_then_drain_N_1048576_S_505.trace,1048576,505,5941.41,3145728,1048576,1048576,1048576,0
linear_base,batch_then_drain,batch_then_drain_N_1048576_S_505.trace,1048576,505,81.7071,3145728,1048576,1048576,1048576,0
binary_heap,batch_then_drain,batch_then_drain_N_131072_S_101.trace,131072,101,140.621,393216,131072,131072,131072,0
binomial_queue,batch_then_drain,batch_then_drain_N_131072_S_101.trace,131072,101,532.858,393216,131072,131072,131072,0
linear_base,batch_then_drain,batch_then_drain_N_131072_S_101.trace,131072,101,11.2541,393216,131072,131072,131072,0
binary_heap,batch_then_drain,batch_then_drain_N_131072_S_202.trace,131072,202,139.54,393216,131072,131072,131072,0
binomial_queue,batch_then_drain,batch_then_drain_N_131072_S_202.trace,131072,202,490.534,393216,131072,131072,131072,0
linear_base,batch_then_drain,batch_then_drain_N_131072_S_202.trace,131072,202,12.2402,393216,131072,131072,131072,0
binary_heap,batch_then_drain,batch_then_drain_N_131072_S_303.trace,131072,303,142.169,393216,131072,131072,131072,0
binomial_queue,batch_then_drain,batch_then_drain_N_131072_S_303.trace,131072,303,504.2,393216,131072,131072,131072,0
linear_base,batch_then_drain,batch_then_drain_N_131072_S_303.trace,131072,303,10.5956,393216,131072,131072,131072,0
binary_heap,batch_then_drain,batch_then_drain_N_131072_S_404.trace,131072,404,137.309,393216,131072,131072,131072,0
binomial_queue,batch_then_drain,batch_then_drain_N_131072_S_404.trace,131072,404,520.035,393216,131072,131072,131072,0
linear_base,batch_then_drain,batch_then_drain_N_131072_S_404.trace,131072,404,9.9629,393216,131072,131072,131072,0
binary_heap,batch_then_drain,batch_then_drain_N_131072_S_505.trace,131072,505,138.918,393216,131072,131072,131072,0
binomial_queue,batch_then_drain,batch_then_drain_N_131072_S_505.trace,131072,505,456.615,393216,131072,131072,131072,0
linear_base,batch_then_drain,batch_then_drain_N_131072_S_505.trace,131072,505,10.0962,393216,131072,131072,131072,0
quadratic_oracle,batch_then_drain,batch_then_drain_N_16384_S_101.trace,16384,101,3081.61,49152,16384,16384,16384,0
binary_heap,batch_then_drain,batch_then_drain_N_16384_S_101.trace,16384,101,13.1682,49152,16384,16384,16384,0
binomial_queue,batch_then_drain,batch_then_drain_N_16384_S_101.trace,16384,101,44.492,49152,16384,16384,16384,0
linear_base,batch_then_drain,batch_then_drain_N_16384_S_101.trace,16384,101,1.2848,49152,16384,16384,16384,0
quadratic_oracle,batch_then_drain,batch_then_drain_N_16384_S_202.trace,16384,202,3098.25,49152,16384,16384,16384,0
binary_heap,batch_then_drain,batch_then_drain_N_16384_S_202.trace,16384,202,13.0487,49152,16384,16384,16384,0
binomial_queue,batch_then_drain,batch_then_drain_N_16384_S_202.trace,16384,202,44.5574,49152,16384,16384,16384,0
linear_base,batch_then_drain,batch_then_drain_N_16384_S_202.trace,16384,202,1.3987,49152,16384,16384,16384,0
quadratic_oracle,batch_then_drain,batch_then_drain_N_16384_S_303.trace,16384,303,3097.87,49152,16384,16384,16384,0
binary_heap,batch_then_drain,batch_then_drain_N_16384_S_303.trace,16384,303,13.3407,49152,16384,16384,16384,0
binomial_queue,batch_then_drain,batch_then_drain_N_16384_S_303.trace,16384,303,50.8932,49152,16384,16384,16384,0
linear_base,batch_then_drain,batch_then_drain_N_16384_S_303.trace,16384,303,1.5025,49152,16384,16384,16384,0
quadratic_oracle,batch_then_drain,batch_then_drain_N_16384_S_404.trace,16384,404,3099.57,49152,16384,16384,16384,0
binary_heap,batch_then_drain,batch_then_drain_N_16384_S_404.trace,16384,404,13.1862,49152,16384,16384,16384,0
binomial_queue,batch_then_drain,batch_then_drain_N_16384_S_404.trace,16384,404,43.9737,49152,16384,16384,16384,0
linear_base,batch_then_drain,batch_then_drain_N_16384_S_404.trace,16384,404,1.4045,49152,16384,16384,16384,0
quadratic_oracle,batch_then_drain,batch_then_drain_N_16384_S_505.trace,16384,505,3097.43,49152,16384,16384,16384,0
binary_heap,batch_then_drain,batch_then_drain_N_16384_S_505.trace,16384,505,13.4631,49152,16384,16384,16384,0
binomial_queue,batch_then_drain,batch_then_drain_N_16384_S_505.trace,16384,505,43.3365,49152,16384,16384,16384,0
linear_base,batch_then_drain,batch_then_drain_N_16384_S_505.trace,16384,505,1.3328,49152,16384,16384,16384,0
quadratic_oracle,batch_then_drain,batch_then_drain_N_2048_S_101.trace,2048,101,48.2757,6144,2048,2048,2048,0
binary_heap,batch_then_drain,batch_then_drain_N_2048_S_101.trace,2048,101,1.4819,6144,2048,2048,2048,0
binomial_queue,batch_then_drain,batch_then_drain_N_2048_S_101.trace,2048,101,4.6776,6144,2048,2048,2048,0
linear_base,batch_then_drain,batch_then_drain_N_2048_S_101.trace,2048,101,0.1887,6144,2048,2048,2048,0
quadratic_oracle,batch_then_drain,batch_then_drain_N_2048_S_202.trace,2048,202,48.5282,6144,2048,2048,2048,0
binary_heap,batch_then_drain,batch_then_drain_N_2048_S_202.trace,2048,202,1.277,6144,2048,2048,2048,0
binomial_queue,batch_then_drain,batch_then_drain_N_2048_S_202.trace,2048,202,4.6097,6144,2048,2048,2048,0
linear_base,batch_then_drain,batch_then_drain_N_2048_S_202.trace,2048,202,0.1505,6144,2048,2048,2048,0
quadratic_oracle,batch_then_drain,batch_then_drain_N_2048_S_303.trace,2048,303,48.8021,6144,2048,2048,2048,0
binary_heap,batch_then_drain,batch_then_drain_N_2048_S_303.trace,2048,303,1.35,6144,2048,2048,2048,0
binomial_queue,batch_then_drain,batch_then_drain_N_2048_S_303.trace,2048,303,4.8311,6144,2048,2048,2048,0
linear_base,batch_then_drain,batch_then_drain_N_2048_S_303.trace,2048,303,0.1505,6144,2048,2048,2048,0
quadratic_oracle,batch_then_drain,batch_then_drain_N_2048_S_404.trace,2048,404,47.8149,6144,2048,2048,2048,0
binary_heap,batch_then_drain,batch_then_drain_N_2048_S_404.trace,2048,404,1.4368,6144,2048,2048,2048,0
binomial_queue,batch_then_drain,batch_then_drain_N_2048_S_404.trace,2048,404,4.8107,6144,2048,2048,2048,0
linear_base,batch_then_drain,batch_then_drain_N_2048_S_404.trace,2048,404,0.1886,6144,2048,2048,2048,0
quadratic_oracle,batch_then_drain,batch_then_drain_N_2048_S_505.trace,2048,505,48.195,6144,2048,2048,2048,0
